iter	RMSE
0	0.8812806203
1	0.8374327883
2	0.7940376724
3	0.753507569
4	0.7196079554
5	0.6824269805
6	0.6492663702
7	0.618630132
8	0.5895394083
9	0.5625466257
10	0.5386374406
11	0.5134589757
12	0.4903827447
13	0.4687114669
14	0.4476918622
15	0.4286101512
16	0.4114180187
17	0.3951393994
18	0.3792880335
19	0.3663729632
20	0.3536951107
21	0.3406120511
22	0.3291890407
23	0.3182917274
24	0.3067957804
25	0.2966726625
26	0.2881412697
27	0.2795241475
28	0.2726954741
29	0.2649876952
30	0.2569286937
31	0.2506226762
32	0.2439069933
33	0.2379969219
34	0.2309929776
35	0.2231387848
36	0.2174872564
37	0.2117661618
38	0.2059859008
39	0.2006608389
40	0.1968181287
41	0.192077433
42	0.1876935301
43	0.1838564935
44	0.1800789497
45	0.1756255809
46	0.1717245603
47	0.1682024512
48	0.163732349
49	0.1594275176
50	0.1555303545
51	0.1526338338
52	0.1501391867
53	0.1480442143
54	0.1461773477
55	0.1434921872
56	0.1419071705
57	0.139821163
58	0.1380357714
59	0.1348247663
60	0.1329143623
61	0.1304749565
62	0.1288028088
63	0.1273072149
64	0.1254844339
65	0.1234405631
66	0.1219433131
67	0.1193973464
68	0.1181270855
69	0.1165633895
70	0.1149305137
71	0.1141731009
72	0.1130524433
73	0.1120745665
74	0.1113443172
75	0.1100082079
76	0.1080965808
77	0.1067868499
78	0.1059278246
79	0.1048120723
80	0.1031200186
81	0.10258287
82	0.1012795911
83	0.1000260762
84	0.09874365667
85	0.09740406468
86	0.09683033873
87	0.09609415001
88	0.09496253631
89	0.09414577176
90	0.09287073604
91	0.09203125387
92	0.09162319283
93	0.09090627929
94	0.09015803154
95	0.08953107328
96	0.08894521179
97	0.08825689175
98	0.08764257118
99	0.08707435363
100	0.08602307082
101	0.08505241443
102	0.08443393486
103	0.08336653971
104	0.08222420678
105	0.08147881998
106	0.08082599114
107	0.07988741766
108	0.07875971729
109	0.07825236529
110	0.07798037469
111	0.0770836269
112	0.07623515649
113	0.07576131594
114	0.07488876289
115	0.07441308121
116	0.07394276091
117	0.07324097388
118	0.07279959331
119	0.07212540978
120	0.07184293896
121	0.07146563674
122	0.0707154081
123	0.07034022557
124	0.06967457783
125	0.06909101075
126	0.06852680637
127	0.06801349046
128	0.06768751258
129	0.06736495415
130	0.06714890316
131	0.06640209466
132	0.06616520308
133	0.06569940301
134	0.06528706811
135	0.06476003831
136	0.06415965165
137	0.06374109513
138	0.06337620328
139	0.06291092704
140	0.06234011715
141	0.06195060645
142	0.06131597742
143	0.06082817234
144	0.06044171611
145	0.06016377605
146	0.05988181581
147	0.05959649125
148	0.05928651939
149	0.05907769444
150	0.05879327777
151	0.05858634392
152	0.05816333758
153	0.05791034669
154	0.05764792006
155	0.05751495438
156	0.05688507628
157	0.05635117827
158	0.0559147575
159	0.05565896977
160	0.0551008025
161	0.05478162363
162	0.05457953394
163	0.05425741904
164	0.05397928278
165	0.05369562255
166	0.05335535933
167	0.05296058047
168	0.05249511783
169	0.05226762838
170	0.05180455992
171	0.05142072251
172	0.05124867666
173	0.05094394737
174	0.05075610603
175	0.05026080821
176	0.04989264494
177	0.0497692301
178	0.04944473398
179	0.04918559286
180	0.04910630633
181	0.04884824577
182	0.04869054396
183	0.04861709988
184	0.04839228929
185	0.04816836659
186	0.04795778366
187	0.04776886262
188	0.04760379925
189	0.04718468606
190	0.04703175822
191	0.04688416496
192	0.04653146709
193	0.04626784324
194	0.04620845947
195	0.04599550205
196	0.04575983018
197	0.04553372914
198	0.04537737797
199	0.04525580662
200	0.04498891747
201	0.04463802078
202	0.04425656672
203	0.04409910823
204	0.04388482477
205	0.04364097275
206	0.04350823562
207	0.04322884513
208	0.04306772752
209	0.04292940559
210	0.04284725801
211	0.04264703056
212	0.04250688759
213	0.0422638226
214	0.04203080195
215	0.04191158264
216	0.04178503989
217	0.04149304585
218	0.04129238812
219	0.04115118069
220	0.04106439416
221	0.04097994679
222	0.04079646226
223	0.04068883012
224	0.04047862874
225	0.04031016652
226	0.04017393481
227	0.03997770091
228	0.03978191302
229	0.03954981813
230	0.03926894783
231	0.03921405342
232	0.03901611673
233	0.03886526944
234	0.03866415216
235	0.03850245139
236	0.03827929756
237	0.03812085552
238	0.03796985129
239	0.03778185723
240	0.0376251667
241	0.03751946946
242	0.03742926273
243	0.03722128732
244	0.03706445666
245	0.03684984331
246	0.03666770328
247	0.03655180606
248	0.0364312139
